DR_NO,Date Rptd,Date,Time,AREA,Area Name,Rpt Dist No,Part 1-2,Crm Cd,Crime Description,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,Latitude,Longitude,Year,Month,Day,Weekday,Hour,Time_of_Day
200416136,21-12-2020,21-12-2020,1010,4,hollenbeck,499,1,210,robbery,22,M,H,101,STREET,IC,Invest Cont,210,1400    MIRASOL                      ST,34.0177,-118.1995,2020,12,21,Monday,10,Morning
201109915,29-05-2020,29-05-2020,2115,11,northeast,1178,2,624,battery - simple assault,37,M,H,101,STREET,IC,Invest Cont,624,3200    GRANADA                      ST,34.0959,-118.2289,2020,5,29,Friday,21,Night
201308944,01-04-2020,27-03-2020,1000,13,newton,1383,1,330,burglary from vehicle,34,F,H,101,STREET,IC,Invest Cont,330,100 W  59TH                         PL,33.9861,-118.2739,2020,3,27,Friday,10,Morning
200314589,23-07-2020,22-07-2020,2200,3,southwest,395,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,1800 W  VERNON                       AV,34.0073,-118.3108,2020,7,22,Wednesday,22,Night
200311599,20-05-2020,20-05-2020,630,3,southwest,398,2,624,battery - simple assault,60,M,B,501,SINGLE FAMILY DWELLING,AO,Adult Other,624,600 W  42ND                         ST,34.0071,-118.2842,2020,5,20,Wednesday,6,Morning
200917728,27-11-2020,26-11-2020,1035,9,van nuys,985,1,442,shoplifting - petty theft ($950 & under),0,X,X,402,MARKET,AA,Adult Arrest,442,4500    VAN NUYS                     BL,34.1531,-118.4487,2020,11,26,Thursday,10,Morning
200111798,17-05-2020,16-05-2020,1545,1,central,153,1,761,brandish weapon,25,M,H,902,MTA - RED LINE - PERSHING SQUARE,IC,Invest Cont,761,5TH,34.0488,-118.2518,2020,5,16,Saturday,15,Afternoon
201207833,25-02-2020,25-02-2020,2100,12,77th street,1211,1,230,"assault with deadly weapon, aggravated assault",24,M,B,102,SIDEWALK,IC,Invest Cont,230,SLAUSON                      AV,33.9891,-118.3247,2020,2,25,Tuesday,21,Night
201012992,11-09-2020,08-09-2020,1230,10,west valley,1017,1,440,theft plain - petty ($950 & under),44,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,440,7500    BALBOA                       BL,34.2068,-118.5013,2020,9,8,Tuesday,12,Afternoon
200517611,09-12-2020,04-12-2020,2000,5,harbor,563,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,900 S  MEYLER                       ST,33.7321,-118.295,2020,12,4,Friday,20,Evening
200400646,28-02-2020,28-02-2020,1350,4,hollenbeck,415,2,624,battery - simple assault,60,M,H,210,RESTAURANT/FAST FOOD,IC,Invest Cont,624,3100 N  BROADWAY,34.0762,-118.2119,2020,2,28,Friday,13,Afternoon
200619490,20-12-2020,20-12-2020,2320,6,hollywood,615,1,310,burglary,53,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,310,6300    INNSDALE                     DR,34.13,-118.327,2020,12,20,Sunday,23,Night
201104658,16-01-2020,15-01-2020,2230,11,northeast,1173,1,330,burglary from vehicle,29,M,H,101,STREET,IC,Invest Cont,330,2200    LAKE SHORE                   AV,34.0924,-118.2532,2020,1,15,Wednesday,22,Night
200715389,26-10-2020,07-09-2020,1230,7,wilshire,738,2,354,theft of identity,74,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,600 S  MCCADDEN                     PL,34.0621,-118.3371,2020,9,7,Monday,12,Afternoon
201100619,13-04-2020,11-04-2020,1635,11,northeast,1139,1,251,shots fired at inhabited dwelling,39,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,251,200 S  AVENUE 57,34.1093,-118.1879,2020,4,11,Saturday,16,Afternoon
200717219,17-12-2020,17-12-2020,2225,7,wilshire,752,2,624,battery - simple assault,31,F,W,101,STREET,IC,Invest Cont,624,1000 S  ORLANDO                      AV,34.0588,-118.3738,2020,12,17,Thursday,22,Night
201222479,13-10-2020,12-10-2020,2100,12,77th street,1211,1,230,"assault with deadly weapon, aggravated assault",33,M,W,102,SIDEWALK,IC,Invest Cont,230,3300 W  54TH                         ST,33.9931,-118.3299,2020,10,12,Monday,21,Night
200812722,07-08-2020,07-08-2020,1240,8,west la,855,2,860,battery with sexual contact,21,F,A,102,SIDEWALK,IC,Invest Cont,860,SANTA MONICA,34.0505,-118.4349,2020,8,7,Friday,12,Afternoon
201215247,23-06-2020,23-06-2020,2200,12,77th street,1203,2,624,battery - simple assault,47,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,1600 W  47TH                         ST,34.001,-118.3068,2020,6,23,Tuesday,22,Night
201210326,04-04-2020,04-04-2020,1240,12,77th street,1251,2,930,criminal threats - no weapon displayed,29,M,B,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,930,7500    8TH                          AV,33.9731,-118.3304,2020,4,4,Saturday,12,Afternoon
200316181,21-08-2020,20-08-2020,1030,3,southwest,393,1,330,burglary from vehicle,19,X,X,103,ALLEY,IC,Invest Cont,330,4300    LEIMERT                      BL,34.0053,-118.3296,2020,8,20,Thursday,10,Morning
200106227,02-02-2020,01-02-2020,2220,1,central,171,2,624,battery - simple assault,19,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,624,800 W  OLYMPIC                      BL,34.045,-118.264,2020,2,1,Saturday,22,Night
200415331,27-11-2020,27-11-2020,1315,4,hollenbeck,454,1,210,robbery,25,F,H,101,STREET,IC,Invest Cont,210,3RD                          ST,34.0451,-118.2184,2020,11,27,Friday,13,Afternoon
201220627,12-09-2020,10-09-2020,2230,12,77th street,1268,2,626,intimate partner - simple assault,35,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,626,7900 S  BROADWAY,33.9673,-118.2783,2020,9,10,Thursday,22,Night
200415824,11-12-2020,10-12-2020,2100,4,hollenbeck,469,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,3400 E  5TH                          ST,34.0322,-118.1975,2020,12,10,Thursday,21,Night
201205016,14-01-2020,13-01-2020,900,12,77th street,1249,2,740,"vandalism - felony ($400 & over, all church vandalisms)",42,F,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,6500    DENVER                       AV,33.9806,-118.2838,2020,1,13,Monday,9,Morning
201225683,03-12-2020,03-12-2020,300,12,77th street,1267,1,330,burglary from vehicle,20,F,H,101,STREET,IC,Invest Cont,330,8300 S  HOOVER                       ST,33.9635,-118.2871,2020,12,3,Thursday,3,Night
200115598,30-07-2020,30-07-2020,800,1,central,153,2,625,other assault,48,M,H,102,SIDEWALK,IC,Invest Cont,625,600 S  SPRING                       ST,34.0467,-118.252,2020,7,30,Thursday,8,Morning
201012066,15-08-2020,14-08-2020,2100,10,west valley,1065,2,740,"vandalism - felony ($400 & over, all church vandalisms)",0,M,O,507,CONDOMINIUM/TOWNHOUSE,AA,Adult Arrest,740,5400    ZELZAH                       AV,34.1686,-118.522,2020,8,14,Friday,21,Night
201217533,30-07-2020,30-07-2020,122,12,77th street,1203,2,890,failure to yield,19,X,X,101,STREET,JA,Juv Arrest,890,WESTERN                      AV,34.0001,-118.3089,2020,7,30,Thursday,1,Night
200511811,14-07-2020,14-07-2020,1,5,harbor,514,2,745,vandalism - misdeameanor ($399 or under),0,X,X,247,CAR WASH,IC,Invest Cont,745,1200 W  PACIFIC COAST                HY,33.7904,-118.278,2020,7,14,Tuesday,0,Night
200905891,11-02-2020,10-02-2020,1800,9,van nuys,923,1,330,burglary from vehicle,38,M,B,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,330,15200    KITTRIDGE                    ST,34.1903,-118.464,2020,2,10,Monday,18,Evening
200707236,09-03-2020,23-02-2020,2130,7,wilshire,711,2,624,battery - simple assault,28,F,W,203,OTHER BUSINESS,IC,Invest Cont,624,400 N  FAIRFAX                      AV,34.0782,-118.3695,2020,2,23,Sunday,21,Night
200312360,06-06-2020,06-06-2020,1450,3,southwest,314,1,230,"assault with deadly weapon, aggravated assault",26,F,H,101,STREET,IC,Invest Cont,230,3800 W  MONT CLAIR                   ST,34.0328,-118.323,2020,6,6,Saturday,14,Afternoon
200608750,02-04-2020,17-03-2020,1628,6,hollywood,636,1,341,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod",27,F,B,102,SIDEWALK,IC,Invest Cont,341,1700 N  MC CADDEN                    PL,34.1016,-118.3374,2020,3,17,Tuesday,16,Afternoon
200309633,09-04-2020,08-04-2020,2130,3,southwest,398,1,330,burglary from vehicle,20,M,H,101,STREET,IC,Invest Cont,330,500 W  41ST                         DR,34.0088,-118.2827,2020,4,8,Wednesday,21,Night
200613160,27-07-2020,25-07-2020,1900,6,hollywood,625,1,480,bike - stolen,51,M,W,707,GARAGE/CARPORT,IC,Invest Cont,480,2000    GLENCOE                      WY,34.1072,-118.3395,2020,7,25,Saturday,19,Evening
201004884,22-01-2020,22-01-2020,230,10,west valley,1024,1,330,burglary from vehicle,35,M,H,101,STREET,IC,Invest Cont,330,6900    GEYSER                       AV,34.1957,-118.5426,2020,1,22,Wednesday,2,Night
201009806,08-06-2020,05-06-2020,1400,10,west valley,1003,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,RESEDA,34.212,-118.5361,2020,6,5,Friday,14,Afternoon
200514919,05-10-2020,05-10-2020,2041,5,harbor,558,2,740,"vandalism - felony ($400 & over, all church vandalisms)",0,M,O,705,SLIPS/DOCK/MARINA/BOAT,AA,Adult Arrest,740,100 E  SWINFORD                     ST,33.7493,-118.279,2020,10,5,Monday,20,Evening
200113016,06-06-2020,06-06-2020,410,1,central,111,1,761,brandish weapon,36,M,H,101,STREET,AO,Adult Other,761,ALAMEDA,34.0578,-118.2371,2020,6,6,Saturday,4,Night
200614753,31-08-2020,31-08-2020,830,6,hollywood,656,2,624,battery - simple assault,43,M,H,101,STREET,IC,Invest Cont,624,6000    ELEANOR                      AV,34.0898,-118.3244,2020,8,31,Monday,8,Morning
201209696,24-03-2020,23-03-2020,1530,12,77th street,1248,1,341,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod",29,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,341,900 W  62ND                         PL,33.9828,-118.2892,2020,3,23,Monday,15,Afternoon
201109221,10-05-2020,24-04-2020,1500,11,northeast,1118,2,354,theft of identity,31,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,5600    YORK                         BL,34.1194,-118.1967,2020,4,24,Friday,15,Afternoon
200411824,17-08-2020,15-04-2020,1200,4,hollenbeck,424,1,310,burglary,44,F,H,221,PUBLIC STORAGE,IC,Invest Cont,310,4000 N  MISSION                      RD,34.0739,-118.1965,2020,4,15,Wednesday,12,Afternoon
200605531,01-02-2020,01-02-2020,1840,6,hollywood,637,1,210,robbery,0,X,X,401,MINI-MART,IC,Invest Cont,210,6000    HOLLYWOOD                    BL,34.103,-118.3225,2020,2,1,Saturday,18,Evening
200715703,06-11-2020,06-11-2020,2100,7,wilshire,722,1,343,shoplifting-grand theft ($950.01 & over),0,M,O,417,THE BEVERLY CONNECTION,AO,Adult Other,343,100 N  LA CIENEGA                   BL,34.0734,-118.3765,2020,11,6,Friday,21,Night
201206429,04-02-2020,01-02-2020,500,12,77th street,1245,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,65TH,33.9806,-118.2918,2020,2,1,Saturday,5,Morning
201226574,23-09-2020,22-09-2020,1205,12,77th street,1283,2,354,theft of identity,55,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,1500 W  94TH                         ST,33.9511,-118.3047,2020,9,22,Tuesday,12,Afternoon
201108185,09-04-2020,09-04-2020,2100,11,northeast,1151,2,625,other assault,24,M,W,102,SIDEWALK,AO,Adult Other,625,FOUNTAIN,34.0986,-118.2962,2020,4,9,Thursday,21,Night
200917017,09-11-2020,09-11-2020,1800,9,van nuys,946,2,624,battery - simple assault,16,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,624,5500    COLBATH                      AV,34.1703,-118.4367,2020,11,9,Monday,18,Evening
200711359,07-07-2020,04-07-2020,1700,7,wilshire,789,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2300    9TH                          AV,34.0359,-118.3272,2020,7,4,Saturday,17,Evening
201210077,31-03-2020,31-03-2020,2030,12,77th street,1211,2,623,battery police (simple),27,M,H,101,STREET,AO,Adult Other,623,CRENSHAW                     BL,33.989,-118.3307,2020,3,31,Tuesday,20,Evening
201013814,30-09-2020,30-09-2020,840,10,west valley,1037,2,888,trespassing,0,M,O,158,TRANSIENT ENCAMPMENT,AA,Adult Arrest,888,WHITE OAK,34.1866,-118.5185,2020,9,30,Wednesday,8,Morning
201112651,15-08-2020,15-08-2020,1800,11,northeast,1181,1,230,"assault with deadly weapon, aggravated assault",53,M,H,102,SIDEWALK,IC,Invest Cont,230,SUNSET,34.0808,-118.2655,2020,8,15,Saturday,18,Evening
200104831,12-01-2020,12-01-2020,430,1,central,192,1,230,"assault with deadly weapon, aggravated assault",31,M,W,102,SIDEWALK,AA,Adult Arrest,230,1800 S  HOPE                         ST,34.0348,-118.2687,2020,1,12,Sunday,4,Night
200510076,29-05-2020,28-05-2020,2000,5,harbor,523,1,420,theft from motor vehicle - petty ($950 & under),67,M,B,101,STREET,IC,Invest Cont,420,700    FIGUEROA                     ST,33.7613,-118.2819,2020,5,28,Thursday,20,Evening
200910338,31-05-2020,30-05-2020,2000,9,van nuys,952,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,5200    WILLIS                       AV,34.1649,-118.4553,2020,5,30,Saturday,20,Evening
