DR_NO,Date Rptd,Date,Time,AREA,Area Name,Rpt Dist No,Part 1-2,Crm Cd,Crime Description,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Status,Status Desc,Crm Cd 1,LOCATION,Latitude,Longitude,Year,Month,Day,Weekday,Hour,Time_of_Day
190326475,01-03-2020,01-03-2020,2130,7,wilshire,784,1,510,vehicle - stolen,0,M,O,101,STREET,AA,Adult Arrest,510,1900 S  LONGWOOD                     AV,34.0375,-118.3506,2020,3,1,Sunday,21,Night
200106753,09-02-2020,08-02-2020,1800,1,central,182,1,330,burglary from vehicle,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),IC,Invest Cont,330,1000 S  FLOWER                       ST,34.0444,-118.2628,2020,2,8,Saturday,18,Evening
200320258,11-11-2020,04-11-2020,1700,3,southwest,356,1,480,bike - stolen,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,480,1400 W  37TH                         ST,34.021,-118.3002,2020,11,4,Wednesday,17,Evening
200907217,10-05-2023,10-03-2020,2037,9,van nuys,964,1,343,shoplifting-grand theft ($950.01 & over),19,M,O,405,CLOTHING STORE,IC,Invest Cont,343,14000    RIVERSIDE                    DR,34.1576,-118.4387,2020,3,10,Tuesday,20,Evening
200412582,09-09-2020,09-09-2020,630,4,hollenbeck,413,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,200 E  AVENUE 28,34.082,-118.213,2020,9,9,Wednesday,6,Morning
200209713,03-05-2020,02-05-2020,1800,2,rampart,245,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2500 W  4TH                          ST,34.0642,-118.2771,2020,5,2,Saturday,18,Evening
200200759,07-07-2020,07-07-2020,1340,2,rampart,265,1,648,arson,0,X,X,101,STREET,IC,Invest Cont,648,JAMES M WOOD,34.0536,-118.2788,2020,7,7,Tuesday,13,Afternoon
201308739,27-03-2020,27-03-2020,1210,13,newton,1333,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,3200 S  SAN PEDRO                    ST,34.017,-118.2643,2020,3,27,Friday,12,Afternoon
201112065,31-07-2020,30-07-2020,2030,11,northeast,1161,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,KENMORE                      ST,34.0953,-118.2974,2020,7,30,Thursday,20,Evening
200121929,04-12-2020,03-12-2020,2300,1,central,105,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,400    SOLANO                       AV,34.071,-118.2302,2020,12,3,Thursday,23,Night
201215394,26-06-2020,25-06-2020,2200,12,77th street,1259,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,FLORENCE,33.9747,-118.2587,2020,6,25,Thursday,22,Night
200406391,02-03-2020,01-03-2020,1430,4,hollenbeck,407,1,310,burglary,27,M,W,221,PUBLIC STORAGE,IC,Invest Cont,310,4500    HUNTINGTON DR,34.0881,-118.1877,2020,3,1,Sunday,14,Afternoon
200114396,06-07-2020,04-07-2020,100,1,central,157,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,6TH                          ST,34.0423,-118.2453,2020,7,4,Saturday,1,Night
200912561,20-07-2020,20-07-2020,700,9,van nuys,937,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,BESSEMER,34.1812,-118.4356,2020,7,20,Monday,7,Morning
200207955,19-03-2020,19-03-2020,130,2,rampart,236,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1900    MIRAMAR                      ST,34.0632,-118.2693,2020,3,19,Thursday,1,Night
200112598,01-06-2020,30-05-2020,30,1,central,153,1,310,burglary,0,M,W,201,JEWELRY STORE,AA,Adult Arrest,310,600 S  BROADWAY,34.0467,-118.252,2020,5,30,Saturday,0,Night
200905707,08-02-2020,07-02-2020,2000,9,van nuys,939,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AO,Adult Other,510,AETNA,34.1803,-118.4204,2020,2,7,Friday,20,Evening
200215463,26-09-2020,25-09-2020,1900,2,rampart,237,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1600 W  COURT                        ST,34.0668,-118.2627,2020,9,25,Friday,19,Evening
200308100,07-03-2020,06-03-2020,2200,3,southwest,317,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,VERMONT,34.0344,-118.2915,2020,3,6,Friday,22,Night
200606074,12-02-2020,07-02-2020,1615,6,hollywood,646,2,805,pimping,23,F,H,101,STREET,AA,Adult Arrest,805,HOLLYWOOD,34.1016,-118.337,2020,2,7,Friday,16,Afternoon
200517540,07-12-2020,30-11-2020,2255,5,harbor,541,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1400    BRETT                        PL,33.7553,-118.3056,2020,11,30,Monday,22,Night
200506977,10-03-2020,22-02-2020,30,5,harbor,511,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AA,Adult Arrest,510,1600 W  PACIFIC COAST                HY,33.7926,-118.3043,2020,2,22,Saturday,0,Night
201110303,11-06-2020,08-06-2020,2000,11,northeast,1118,1,310,burglary,0,M,O,203,OTHER BUSINESS,IC,Invest Cont,310,100    AVENUE 56,34.1089,-118.1942,2020,6,8,Monday,20,Evening
201000767,14-07-2020,13-07-2020,2000,10,west valley,1043,1,330,burglary from vehicle,41,M,W,108,PARKING LOT,AA,Adult Arrest,330,18600    HATTERAS                     ST,34.1774,-118.5387,2020,7,13,Monday,20,Evening
200510354,08-06-2020,08-06-2020,330,5,harbor,587,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2900 S  KERCKHOFF                    AV,33.7179,-118.2898,2020,6,8,Monday,3,Night
200410136,24-06-2020,24-06-2020,700,4,hollenbeck,413,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,300 E  AVENUE 31,34.0809,-118.2132,2020,6,24,Wednesday,7,Morning
200814461,24-09-2020,24-09-2020,1710,8,west la,898,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,ROBERTSON                    BL,34.0375,-118.3886,2020,9,24,Thursday,17,Evening
201215562,29-06-2020,29-06-2020,730,12,77th street,1263,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,81ST,33.9655,-118.3046,2020,6,29,Monday,7,Morning
200210168,14-05-2020,12-05-2020,2100,2,rampart,266,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,700 S  UNION                        AV,34.0531,-118.2738,2020,5,12,Tuesday,21,Night
200714301,27-09-2020,22-09-2020,1430,7,wilshire,702,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,800 N  FULLER                       AV,34.0853,-118.3499,2020,9,22,Tuesday,14,Afternoon
200906009,14-02-2020,13-02-2020,2230,9,van nuys,914,2,806,pandering,0,F,X,101,STREET,AO,Adult Other,806,SEPULVEDA,34.1958,-118.4662,2020,2,13,Thursday,22,Night
200218448,11-12-2020,10-12-2020,2000,2,rampart,271,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,900 S  ALVARADO                     ST,34.0529,-118.2819,2020,12,10,Thursday,20,Evening
200618540,27-11-2020,27-11-2020,950,6,hollywood,642,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,ORANGE,34.0981,-118.3577,2020,11,27,Friday,9,Morning
200316510,30-08-2020,29-08-2020,2050,3,southwest,333,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,AO,Adult Other,510,JEFFERSON,34.0278,-118.3378,2020,8,29,Saturday,20,Evening
200504009,01-01-2020,01-01-2020,2100,5,harbor,526,2,946,other miscellaneous crime,0,X,X,101,STREET,AA,Adult Arrest,946,G,33.7783,-118.2662,2020,1,1,Wednesday,21,Night
200808682,25-04-2020,21-04-2020,1400,8,west la,858,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,8800 W  PICO                         BL,34.0548,-118.3837,2020,4,21,Tuesday,14,Afternoon
200810737,17-06-2020,16-06-2020,1600,8,west la,829,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1300    WOODRUFF                     AV,34.0633,-118.4292,2020,6,16,Tuesday,16,Afternoon
201116973,26-12-2020,26-12-2020,332,11,northeast,1169,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,200 S  AVENUE 51,34.1038,-118.1987,2020,12,26,Saturday,3,Night
200510994,25-06-2020,25-06-2020,230,5,harbor,563,1,510,vehicle - stolen,0,Unknown,Unknown,108,PARKING LOT,IC,Invest Cont,510,14TH                         ST,33.7315,-118.2879,2020,6,25,Thursday,2,Night
201107590,22-03-2020,21-03-2020,2000,11,northeast,1137,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,700 N  AVENUE 50,34.1109,-118.2016,2020,3,21,Saturday,20,Evening
200119680,19-10-2020,18-10-2020,1800,1,central,159,1,510,vehicle - stolen,0,Unknown,Unknown,108,PARKING LOT,IC,Invest Cont,510,1800    CONWAY                       PL,34.0366,-118.2325,2020,10,18,Sunday,18,Evening
200410224,27-06-2020,27-06-2020,400,4,hollenbeck,471,1,510,vehicle - stolen,0,Unknown,Unknown,108,PARKING LOT,IC,Invest Cont,510,4TH,34.0427,-118.2237,2020,6,27,Saturday,4,Night
200412621,10-09-2020,09-09-2020,1800,4,hollenbeck,467,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,100 S  SOTO                         ST,34.0424,-118.2107,2020,9,9,Wednesday,18,Evening
201106871,04-03-2020,02-03-2020,2130,11,northeast,1107,2,745,vandalism - misdeameanor ($399 or under),50,M,H,101,STREET,IC,Invest Cont,745,6100    DELPHI                       ST,34.1241,-118.1878,2020,3,2,Monday,21,Night
200111627,12-05-2020,10-05-2020,2200,1,central,111,2,626,intimate partner - simple assault,30,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,626,700 N  HILL                         PL,34.0618,-118.2424,2020,5,10,Sunday,22,Night
200109800,29-03-2020,29-03-2020,930,1,central,163,1,330,burglary from vehicle,0,M,W,103,ALLEY,IC,Invest Cont,330,9TH,34.0416,-118.255,2020,3,29,Sunday,9,Morning
201225656,02-12-2020,02-12-2020,2245,12,77th street,1268,1,210,robbery,21,M,H,101,STREET,IC,Invest Cont,210,SAN PEDRO,33.961,-118.2695,2020,12,2,Wednesday,22,Night
200309451,04-04-2020,04-04-2020,1210,3,southwest,361,1,310,burglary,19,X,X,301,GAS STATION,IC,Invest Cont,310,3700 S  LA BREA                      AV,34.0199,-118.3556,2020,4,4,Saturday,12,Afternoon
200211094,08-06-2020,06-06-2020,1200,2,rampart,237,1,341,"theft-grand ($950.01 & over)excpt,guns,fowl,livestk,prod",0,X,X,247,CAR WASH,IC,Invest Cont,341,1600 W  TEMPLE                       ST,34.0682,-118.2609,2020,6,6,Saturday,12,Afternoon
201212036,02-05-2020,01-05-2020,2330,12,77th street,1268,1,230,"assault with deadly weapon, aggravated assault",28,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,230,100 E  82ND                         ST,33.9654,-118.2739,2020,5,1,Friday,23,Night
200914517,10-09-2020,09-09-2020,1735,9,van nuys,909,2,354,theft of identity,40,M,O,507,CONDOMINIUM/TOWNHOUSE,IC,Invest Cont,354,13600    LEADWELL                     ST,34.2039,-118.4312,2020,9,9,Wednesday,17,Evening
200105246,18-01-2020,18-01-2020,940,1,central,118,2,624,battery - simple assault,42,M,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,624,200 E  BLOOM                        ST,34.0639,-118.2295,2020,1,18,Saturday,9,Morning
201106067,15-02-2020,15-02-2020,1830,11,northeast,1101,1,330,burglary from vehicle,43,M,A,108,PARKING LOT,IC,Invest Cont,330,2700 N  VERMONT                      AV,34.1179,-118.293,2020,2,15,Saturday,18,Evening
201116118,27-11-2020,23-11-2020,1200,11,northeast,1141,2,354,theft of identity,26,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,2000 N  VERMONT                      AV,34.1095,-118.2958,2020,11,23,Monday,12,Afternoon
200716724,04-12-2020,03-12-2020,811,7,wilshire,722,1,442,shoplifting - petty theft ($950 & under),19,M,O,203,OTHER BUSINESS,IC,Invest Cont,442,8400    BEVERLY                      BL,34.0761,-118.3737,2020,12,3,Thursday,8,Morning
200217442,15-11-2020,15-11-2020,310,2,rampart,218,1,310,burglary,36,M,W,210,RESTAURANT/FAST FOOD,IC,Invest Cont,310,1500 W  SUNSET                       BL,34.0758,-118.2552,2020,11,15,Sunday,3,Night
200914052,27-08-2020,27-08-2020,1255,9,van nuys,935,2,624,battery - simple assault,57,F,H,102,SIDEWALK,IC,Invest Cont,624,14100    SYLVAN                       ST,34.1847,-118.44,2020,8,27,Thursday,12,Afternoon
200810920,20-06-2020,20-06-2020,1000,8,west la,841,2,624,battery - simple assault,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,AO,Adult Other,624,12100    SANTA MONICA                 BL,34.0423,-118.4656,2020,6,20,Saturday,10,Morning
201112187,04-08-2020,16-07-2020,1900,11,northeast,1144,2,662,"bunco, grand theft",51,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,662,2100    HYPERION                     AV,34.099,-118.2738,2020,7,16,Thursday,19,Evening
201212259,05-05-2020,05-05-2020,932,12,77th street,1239,1,343,shoplifting-grand theft ($950.01 & over),0,X,X,402,MARKET,IC,Invest Cont,343,5900 S  FIGUEROA                     ST,33.9874,-118.2827,2020,5,5,Tuesday,9,Morning
200918185,07-12-2020,07-12-2020,1203,9,van nuys,935,2,900,violation of court order,52,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",AA,Adult Arrest,900,6200    SYLMAR                       AV,34.1837,-118.4465,2020,12,7,Monday,12,Afternoon
200105289,19-01-2020,16-01-2020,1700,1,central,119,1,510,vehicle - stolen,0,Unknown,Unknown,104,DRIVEWAY,IC,Invest Cont,510,400    BAUCHET                      ST,34.0587,-118.233,2020,1,16,Thursday,17,Evening
200516527,12-11-2020,12-11-2020,430,5,harbor,508,1,510,vehicle - stolen,0,Unknown,Unknown,104,DRIVEWAY,IC,Invest Cont,510,23400    PRESIDENT                    AV,33.8129,-118.3071,2020,11,12,Thursday,4,Night
200609101,15-04-2020,12-04-2020,1300,6,hollywood,648,1,510,vehicle - stolen,0,Unknown,Unknown,108,PARKING LOT,AO,Adult Other,510,5700    HOLLYWOOD                    BL,34.1017,-118.3136,2020,4,12,Sunday,13,Afternoon
201210786,11-04-2020,11-04-2020,2035,12,77th street,1259,1,230,"assault with deadly weapon, aggravated assault",26,F,B,103,ALLEY,IC,Invest Cont,230,74TH                         ST,33.973,-118.2652,2020,4,11,Saturday,20,Evening
200706211,17-02-2020,16-02-2020,2350,7,wilshire,734,2,624,battery - simple assault,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,624,6000 W  6TH                          ST,34.0677,-118.3548,2020,2,16,Sunday,23,Night
200514277,17-09-2020,17-09-2020,2255,5,harbor,558,2,901,violation of restraining order,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,901,200 W  AMAR                         ST,33.7478,-118.2822,2020,9,17,Thursday,22,Night
200506268,22-02-2020,22-02-2020,1900,5,harbor,511,1,440,theft plain - petty ($950 & under),29,F,W,102,SIDEWALK,IC,Invest Cont,440,PACIFIC COAST,33.7926,-118.3043,2020,2,22,Saturday,19,Evening
200119908,24-10-2020,23-10-2020,2330,1,central,185,1,330,burglary from vehicle,0,F,B,108,PARKING LOT,IC,Invest Cont,330,1000 S  BROADWAY,34.0406,-118.2578,2020,10,23,Friday,23,Night
200206940,27-02-2020,27-02-2020,1255,2,rampart,216,1,230,"assault with deadly weapon, aggravated assault",28,M,H,101,STREET,IC,Invest Cont,230,BELLEVUE                     AV,34.0751,-118.2717,2020,2,27,Thursday,12,Afternoon
200709456,20-05-2020,20-05-2020,1250,7,wilshire,773,1,330,burglary from vehicle,53,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,330,1800 S  COCHRAN                      AV,34.0443,-118.3538,2020,5,20,Wednesday,12,Afternoon
201014375,24-10-2020,23-10-2020,2330,10,west valley,1025,2,740,"vandalism - felony ($400 & over, all church vandalisms)",0,M,W,210,RESTAURANT/FAST FOOD,IC,Invest Cont,740,6800    RESEDA                       BL,34.1939,-118.536,2020,10,23,Friday,23,Night
200117110,28-08-2020,01-05-2020,100,1,central,154,1,121,"rape, forcible",22,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,121,500 S  MAIN                         ST,34.0465,-118.2488,2020,5,1,Friday,1,Night
200610130,11-05-2020,11-05-2020,1130,6,hollywood,645,1,210,robbery,0,X,X,401,MINI-MART,AA,Adult Arrest,210,7000 W  SUNSET                       BL,34.098,-118.3416,2020,5,11,Monday,11,Morning
200714035,20-09-2020,01-09-2020,1,7,wilshire,715,1,331,theft from motor vehicle - grand ($950.01 and over),70,F,W,101,STREET,IC,Invest Cont,331,400 N  ALTA VISTA                   BL,34.0783,-118.3474,2020,9,1,Tuesday,0,Night
200210863,01-06-2020,01-06-2020,1525,2,rampart,235,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,2200    VALLEY                       ST,34.0653,-118.2725,2020,6,1,Monday,15,Afternoon
200911839,02-07-2020,26-06-2020,1200,9,van nuys,974,1,331,theft from motor vehicle - grand ($950.01 and over),36,M,W,101,STREET,IC,Invest Cont,331,4600    WILLIS                       AV,34.1545,-118.4552,2020,6,26,Friday,12,Afternoon
200615995,28-09-2020,27-09-2020,35,6,hollywood,646,2,740,"vandalism - felony ($400 & over, all church vandalisms)",0,X,X,203,OTHER BUSINESS,IC,Invest Cont,740,6600 W  SUNSET                       BL,34.098,-118.3335,2020,9,27,Sunday,0,Night
200200760,07-07-2020,07-07-2020,1620,2,rampart,241,1,230,"assault with deadly weapon, aggravated assault",45,M,B,102,SIDEWALK,IC,Invest Cont,230,6TH                          ST,34.0628,-118.2821,2020,7,7,Tuesday,16,Afternoon
201115543,08-11-2020,08-11-2020,1500,11,northeast,1183,1,330,burglary from vehicle,42,M,W,101,STREET,IC,Invest Cont,330,1600 N  ALVARADO                     ST,34.0834,-118.2599,2020,11,8,Sunday,15,Afternoon
200320615,18-11-2020,11-11-2020,2300,3,southwest,327,1,480,bike - stolen,22,M,W,121,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,480,2600    ORCHARD                      AV,34.0303,-118.2874,2020,11,11,Wednesday,23,Night
200200724,05-06-2020,04-06-2020,1850,2,rampart,202,2,624,battery - simple assault,39,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,624,4300    NORMAL                       AV,34.0888,-118.2881,2020,6,4,Thursday,18,Evening
201007153,12-03-2020,12-03-2020,640,10,west valley,1001,2,888,trespassing,45,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,888,19500    INGOMAR                      ST,34.212,-118.5579,2020,3,12,Thursday,6,Morning
201308239,16-03-2020,28-02-2020,2300,13,newton,1333,2,745,vandalism - misdeameanor ($399 or under),62,M,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,IC,Invest Cont,745,1000 E  28TH                         ST,34.0175,-118.2574,2020,2,28,Friday,23,Night
200506936,09-03-2020,08-03-2020,1830,5,harbor,506,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,WESTERN                      AV,33.8268,-118.309,2020,3,8,Sunday,18,Evening
201217850,04-08-2020,04-08-2020,1000,12,77th street,1249,2,626,intimate partner - simple assault,31,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,626,6700 S  FIGUEROA                     ST,33.9786,-118.2827,2020,8,4,Tuesday,10,Morning
200310566,25-04-2020,25-04-2020,950,3,southwest,356,1,440,theft plain - petty ($950 & under),37,M,B,402,MARKET,IC,Invest Cont,440,1700 W  JEFFERSON                    BL,34.0256,-118.3061,2020,4,25,Saturday,9,Morning
201222029,04-10-2020,04-10-2020,1800,12,77th street,1268,2,626,intimate partner - simple assault,32,F,H,101,STREET,IC,Invest Cont,626,100 E  84TH                         PL,33.9619,-118.2717,2020,10,4,Sunday,18,Evening
201211083,17-04-2020,16-04-2020,1700,12,77th street,1209,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,FLOWER                       ST,33.9983,-118.2813,2020,4,16,Thursday,17,Evening
201209876,27-03-2020,27-03-2020,1650,12,77th street,1263,1,210,robbery,0,M,W,101,STREET,IC,Invest Cont,210,2000 W  80TH                         ST,33.9664,-118.3134,2020,3,27,Friday,16,Afternoon
201009044,15-05-2020,13-05-2020,1315,10,west valley,1049,1,331,theft from motor vehicle - grand ($950.01 and over),0,M,W,104,DRIVEWAY,IC,Invest Cont,331,16800    BURBANK                      BL,34.1718,-118.4993,2020,5,13,Wednesday,13,Afternoon
201110399,13-06-2020,11-06-2020,1700,11,northeast,1145,1,330,burglary from vehicle,34,F,O,101,STREET,IC,Invest Cont,330,2400 N  ALVARADO                     ST,34.097,-118.2518,2020,6,11,Thursday,17,Evening
201307829,09-03-2020,28-02-2020,1600,13,newton,1309,1,510,vehicle - stolen,0,Unknown,Unknown,104,DRIVEWAY,IC,Invest Cont,510,900    MATEO                        ST,34.0326,-118.2322,2020,2,28,Friday,16,Afternoon
200311518,18-05-2020,14-05-2020,1900,3,southwest,373,1,520,vehicle - attempt stolen,65,M,B,101,STREET,IC,Invest Cont,520,3900    HUBERT                       AV,34.0142,-118.3281,2020,5,14,Thursday,19,Evening
200304274,05-01-2020,04-01-2020,2030,3,southwest,377,2,740,"vandalism - felony ($400 & over, all church vandalisms)",60,F,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,740,1200    BROWNING                     BL,34.0121,-118.2968,2020,1,4,Saturday,20,Evening
200119934,24-10-2020,24-10-2020,645,1,central,128,2,354,theft of identity,49,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,354,200 E  1ST                          ST,34.0512,-118.2419,2020,10,24,Saturday,6,Morning
200814436,23-09-2020,23-09-2020,1100,8,west la,885,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,10200    CRESTA                       DR,34.0417,-118.4041,2020,9,23,Wednesday,11,Morning
200316872,04-09-2020,03-09-2020,900,3,southwest,392,1,330,burglary from vehicle,38,M,B,707,GARAGE/CARPORT,IC,Invest Cont,330,5100    CRENSHAW                     BL,33.9967,-118.3306,2020,9,3,Thursday,9,Morning
200911119,16-06-2020,15-06-2020,2300,9,van nuys,906,1,330,burglary from vehicle,37,M,O,101,STREET,IC,Invest Cont,330,14200    LEADWELL                     ST,34.2041,-118.4425,2020,6,15,Monday,23,Night
201212066,03-05-2020,03-05-2020,1235,12,77th street,1252,2,437,resisting arrest,0,X,X,101,STREET,AA,Adult Arrest,437,FLORENCE                     AV,33.9746,-118.3177,2020,5,3,Sunday,12,Afternoon
200410047,22-06-2020,01-02-2020,1,4,hollenbeck,429,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,5400    SHELLEY                      ST,34.0912,-118.1624,2020,2,1,Saturday,0,Night
200312493,10-06-2020,25-05-2020,1500,3,southwest,374,2,668,"embezzlement, grand theft ($950.01 & over)",0,Unknown,Unknown,203,OTHER BUSINESS,IC,Invest Cont,668,3800    3RD                          AV,34.0183,-118.3204,2020,5,25,Monday,15,Afternoon
200513373,25-08-2020,11-08-2020,246,5,harbor,564,1,310,burglary,0,X,X,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,310,200 W  6TH                          ST,33.7387,-118.2814,2020,8,11,Tuesday,2,Night
201220752,16-09-2020,16-09-2020,1230,12,77th street,1259,2,745,vandalism - misdeameanor ($399 or under),62,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,745,700 E  73RD                         ST,33.9739,-118.263,2020,9,16,Wednesday,12,Afternoon
200318436,05-10-2020,05-10-2020,2250,3,southwest,361,2,624,battery - simple assault,29,F,H,101,STREET,AA,Adult Arrest,624,4800    COLISEUM                     ST,34.0183,-118.3504,2020,10,5,Monday,22,Night
200618244,20-11-2020,19-11-2020,2030,6,hollywood,643,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1600 N  LA BREA                      AV,34.1007,-118.3494,2020,11,19,Thursday,20,Evening
200214497,01-09-2020,13-06-2020,1340,2,rampart,248,2,668,"embezzlement, grand theft ($950.01 & over)",0,X,X,108,PARKING LOT,IC,Invest Cont,668,1300 W  6TH                          ST,34.0579,-118.2649,2020,6,13,Saturday,13,Afternoon
200805831,10-02-2020,30-01-2020,5,8,west la,831,2,354,theft of identity,57,F,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,354,500 S  BURLINGAME                   AV,34.0494,-118.4866,2020,1,30,Thursday,0,Night
200616504,10-10-2020,09-10-2020,2345,6,hollywood,647,1,210,robbery,29,F,B,707,GARAGE/CARPORT,IC,Invest Cont,210,5800 W  SUNSET                       BL,34.0998,-118.3211,2020,10,9,Friday,23,Night
201309446,15-04-2020,15-04-2020,1730,13,newton,1324,1,410,"burglary from vehicle, attempted",30,M,H,101,STREET,AA,Adult Arrest,410,CENTRAL                      AV,34.0233,-118.2516,2020,4,15,Wednesday,17,Evening
200717189,16-12-2020,13-12-2020,1500,7,wilshire,765,1,330,burglary from vehicle,43,F,B,102,SIDEWALK,IC,Invest Cont,330,PICO                         BL,34.0496,-118.3425,2020,12,13,Sunday,15,Afternoon
200817626,17-12-2020,16-12-2020,1600,8,west la,855,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,1600 S  BENTLEY                      AV,34.0484,-118.4437,2020,12,16,Wednesday,16,Afternoon
201110326,12-06-2020,11-06-2020,2000,11,northeast,1138,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,6200    MT ANGELUS                   DR,34.1148,-118.1869,2020,6,11,Thursday,20,Evening
201106089,16-02-2020,16-02-2020,915,11,northeast,1107,2,624,battery - simple assault,24,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,624,6000    CRESTWOOD                    WY,34.1307,-118.1907,2020,2,16,Sunday,9,Morning
200106948,11-02-2020,11-02-2020,1915,1,central,154,2,626,intimate partner - simple assault,34,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,626,100 E  6TH                          ST,34.046,-118.2493,2020,2,11,Tuesday,19,Evening
200806568,27-02-2020,20-02-2020,1200,8,west la,852,1,480,bike - stolen,35,M,W,707,GARAGE/CARPORT,IC,Invest Cont,480,1500    BARRY                        AV,34.045,-118.4557,2020,2,20,Thursday,12,Afternoon
200212443,11-07-2020,05-07-2020,900,2,rampart,218,1,510,vehicle - stolen,0,Unknown,Unknown,101,STREET,IC,Invest Cont,510,BELLEVUE                     AV,34.0698,-118.2595,2020,7,5,Sunday,9,Morning
